0,1,2,3,4,5,6,7
0.84496003,0.9425936,0.94302416,0.89579296,0.64467853,0.90719616,0.94649345,0.9610915
0.8431391,0.94472986,0.94295067,0.8945872,0.645577,0.90647465,0.94600344,0.95979995
0.83852166,0.9463746,0.94486463,0.89633644,0.6457819,0.90350115,0.94425213,0.95977336
0.83550936,0.9484427,0.9426317,0.8970721,0.6468992,0.9011214,0.9422083,0.9583212
0.83146495,0.94792944,0.9427002,0.89479464,0.64669466,0.89771336,0.9408944,0.9575013
0.83484703,0.947849,0.9436889,0.8969021,0.6456565,0.89839005,0.9405479,0.9588261
0.83428335,0.9486056,0.9450867,0.89459294,0.64558095,0.8995248,0.9409513,0.95840436
0.83522016,0.94864523,0.94425917,0.8946233,0.6454005,0.8978644,0.94186705,0.95837945
0.83441436,0.94447076,0.94377774,0.8923161,0.6451319,0.8976726,0.9391222,0.9576576
0.83566225,0.9400352,0.9450391,0.8878195,0.6452019,0.897549,0.93622833,0.95748717
0.83344203,0.93679094,0.94215935,0.8841429,0.6448627,0.8930882,0.93286216,0.9545354
0.8305153,0.93538105,0.9409069,0.8816768,0.6454293,0.89193946,0.9332415,0.9539263
0.82559896,0.9361689,0.9388571,0.8823252,0.64539576,0.8877065,0.92796934,0.9514701
0.81921965,0.9331068,0.9345755,0.8802494,0.64443576,0.8847566,0.9214858,0.95073855
0.8160072,0.93444395,0.9303483,0.8797209,0.64492756,0.88441616,0.9192937,0.95098495
0.8132177,0.931207,0.9289466,0.8786384,0.64521027,0.88473725,0.9173976,0.9503782
0.8114766,0.9300647,0.9262059,0.87740684,0.6450833,0.8869442,0.9137768,0.9491725
0.81009734,0.9299408,0.92447805,0.87840486,0.6445405,0.88555765,0.9112187,0.94910884
0.8098568,0.92899466,0.92647195,0.8764516,0.64415663,0.88583297,0.90871656,0.94938046
0.8115126,0.93195456,0.9293041,0.87750566,0.64465636,0.8854514,0.9109903,0.94972324
0.8120973,0.9313907,0.9317235,0.8758214,0.6448879,0.8851086,0.9108918,0.94999677
0.81008893,0.93053067,0.92986906,0.8751816,0.6444764,0.881792,0.9121606,0.94799674
0.8086231,0.9328595,0.93292737,0.8764789,0.6449654,0.8813742,0.91290593,0.94902325
0.8068278,0.9299761,0.9312023,0.87375057,0.6448931,0.87892026,0.9131751,0.9480358
0.8052963,0.93078065,0.9312644,0.87355477,0.6454573,0.8804484,0.91325116,0.9484018
0.80337864,0.92957,0.9284229,0.8704434,0.6457203,0.88150895,0.91158104,0.9469882
0.8029778,0.9297571,0.92849135,0.87132484,0.64639217,0.88184893,0.9092051,0.9474348
0.8024085,0.93003124,0.92603844,0.871183,0.6469782,0.88194203,0.90559024,0.9464898
0.8046712,0.9293514,0.9248424,0.8743565,0.6472129,0.88556117,0.9067789,0.9479699
0.80387694,0.9311344,0.92579216,0.8765898,0.64635974,0.88848644,0.9024302,0.9473038
0.8030623,0.9322483,0.924621,0.8736402,0.64653563,0.8854553,0.90006244,0.9461672
0.80068845,0.9324448,0.9236738,0.8730826,0.64615595,0.8836138,0.8982093,0.9462819
0.79616463,0.9277315,0.9207259,0.8693841,0.6466723,0.88153696,0.89517504,0.9446467
0.7949755,0.9245189,0.9182127,0.8693451,0.64633447,0.8821285,0.8943976,0.94464076
0.79723793,0.92491335,0.91675425,0.8685733,0.64587843,0.88390064,0.89878917,0.94495076
0.79648453,0.92198557,0.91897386,0.8648217,0.6464399,0.8835284,0.89804894,0.9440373
0.79888374,0.91912925,0.9171112,0.8652891,0.64646226,0.88294375,0.8977269,0.9420366
0.8006222,0.9216089,0.9184678,0.865965,0.6458952,0.88277227,0.8963392,0.94298244
0.80315423,0.92256826,0.9176781,0.8685405,0.6461246,0.88416606,0.8992015,0.943781
0.8024914,0.9252043,0.9197311,0.8694253,0.64648503,0.8846617,0.8987153,0.9442698
0.8029051,0.9269159,0.9208564,0.86948276,0.6462763,0.88687104,0.8995759,0.94470906
0.80142474,0.9278283,0.92051405,0.8684172,0.646911,0.8835528,0.89747304,0.9454578
0.80061144,0.92710626,0.92359936,0.8682895,0.64701927,0.883003,0.8961088,0.94501173
0.8025721,0.9264933,0.9240197,0.86906826,0.6477546,0.88737375,0.90005153,0.94732636
0.7985023,0.9226823,0.9221784,0.8650434,0.648009,0.88067263,0.89251965,0.9446124
0.8003948,0.92195666,0.91981757,0.8663024,0.6479551,0.8807962,0.895164,0.943296
0.80049664,0.9214027,0.9193803,0.86805344,0.6484177,0.88206565,0.8948616,0.94319457
0.8016381,0.9218448,0.9193276,0.8702785,0.6488658,0.880053,0.89618796,0.942619
0.8012515,0.9219548,0.9156357,0.87289304,0.6489293,0.883546,0.89736074,0.9430634
0.8001464,0.9243005,0.9142275,0.8745269,0.6484709,0.881689,0.8997493,0.9426199
